numero_ley,resumen,url
2938,CONSTRUCCION DE UN CAMINO AFIRMADO DE AVELLANEDA A LOMAS DE ZAMORA.,https://normas.gba.gob.ar/ar-b/ley/1905/2938/14430
920,PRESUPUESTO DEL TELEGRAFO DEL ESTADO PARA 1874.,https://normas.gba.gob.ar/ar-b/ley/1874/920/14945
12725,"DECLARASE EL 5 DE JUNIO DE CADA AÑO COMO DIA MUNDIAL DEL MEDIO AMBIENTE, ADHIRIENDO A LA RESOLUCION 2994 (XXVII) ESTABLECIDA POR LA ASAMBLE GRAL. DE LA NACIONES UNIDAS",https://normas.gba.gob.ar/ar-b/ley/2001/12725/4132
14583,"ESTABLECE UN RéGIMEN DE REGULACIóN Y FISCALIZACIóN DE EQUIPOS MéDICOS EN USO, EN RELACIóN CON SU APTITUD TéCNICA EN TéRMINOS DE SEGURIDAD Y EFICACIA EN LAS INSTITUCIONES DE SALUD PúBLICA Y PRIVADA.CREA REGISTRO.(VATEM-VERIFICACIóN)",https://normas.gba.gob.ar/ar-b/ley/2014/14583/11265
2937,"IMPUTACIóN DE GASTOS AUTORIZADOS POR LEY 2917, SOBRE AUMENTOS DE SUELDOS AL PERSONAL SUBALTERNO DE POLICíA Y TROPA DEL CUERPO DE BOMBEROS.",https://normas.gba.gob.ar/ar-b/ley/1905/2937/14412
4329,"AUTORIZANDO AL PODER EJECUTIVO A REFORZAR PARTIDAS DE LA DIRECCION GENERAL DE HIGIENE DEL PRESUPUESTO, AÑO 1935, CON SOBRANTES DE OTRAS.",https://normas.gba.gob.ar/ar-b/ley/1935/4329/10861
11337,"DECLáRASE DE UTILIDAD PúBLICA Y SUJETO A EXPROPIACIóN UN INMUEBLE UBICADO EN LA CIUDAD DE LOS TOLDOS, PARTIDO DE GENERAL VIAMONTE. (CREACIóN DE UN SECTOR INDUSTRIAL)",https://normas.gba.gob.ar/ar-b/ley/1992/11337/5483
14279,"DECLARA CIUDADANO ILUSTRE, POST MORTEM, DE LA PROVINCIA DE BUENOS AIRES AL DR. FLOREAL ANTONIO FERRARA, EN MéRITO A SU DESTACADA Y RECONOCIDA TRAYECTORIA ACADéMICA, CIENTíFICA, DOCENTE E INSTITUCIONAL.",https://normas.gba.gob.ar/ar-b/ley/2011/14279/2736
12729,CRéASE EN EL áMBITO DE LA LEGISLATURA DE LA PROVINCIA DE BUENOS AIRES UNA COMISIóN BICAMERAL CUYO OBJETO SERá INVESTIGAR LA CARTERA DE CRéDITOS DEL BANCO DE LA PROVINCIA DE BUENOS AIRES.,https://normas.gba.gob.ar/ar-b/ley/2001/12729/4131
4331,(DEROGADA POR LEY 9350). CATASTRO PARCELARIO DE LA PROVINCIA.,https://normas.gba.gob.ar/ar-b/ley/1935/4331/12095
2931,"CREDITO SUPLEMENTARIO DE 20.000 PESOS, PRESUPUESTO DE 1905.",https://normas.gba.gob.ar/ar-b/ley/1905/2931/14310
12727,"DECLARASE EN ESTADO DE EMERGENCIA ADMINISTRATIVA, ECONOMICA, FINANCIERA AL ESTADO PROVINCIAL. DEC.REG.2023/01.RES:162/01.(MODIFICA 11594,D-L 9122/78,12576)(LEY.NAC.25344)",https://normas.gba.gob.ar/ar-b/ley/2001/12727/4136
1497,CREACION DE LOS PARTIDOS CORONEL PRINGLES Y CORONEL SUAREZ.,https://normas.gba.gob.ar/ar-b/ley/1882/1497/11798
8555,SUSTITUCION DE PARTIDAS EN EL PRESUPUESTO GENERAL EJERCICIO 1975.,https://normas.gba.gob.ar/ar-b/ley/1975/8555/6871
7107,OTóRGANSE CRéDITOS A LOS ASOCIADOS DE LAS COOPERATIVAS DE CONSUMO DE LA PROVINCIA POR INTERMEDIO DEL BANCO DE LA PROVINCIA DE BUENOS AIRES.,https://normas.gba.gob.ar/ar-b/ley/1965/7107/8169
14584,"DAR UN MARCO A LAS POLíTICAS DE EGRESO DE ADOLESCENTES RESIDENTES EN HOGARES DE LA PROVINCIA DE BUENOS AIRES, ORIENTADAS A PROMOVER SU INSERCIóN SOCIO-LABORAL.
(JóVENES INSTITUCIONALIZADOS-CAPACITACIóN LABORAL-PASANTíA-BECA ESTIMULO).",https://normas.gba.gob.ar/ar-b/ley/2014/14584/2696
1492,CREACION DE UN PUESTO DE ESCRIBIENTE PARA LA ASESORIA DE GOBIERNO.,https://normas.gba.gob.ar/ar-b/ley/1882/1492/11718
2935,CESION DE TERRENOS A LA SOCIEDAD TIRO FEDERAL DE SAN NICOLAS.,https://normas.gba.gob.ar/ar-b/ley/1905/2935/14378
12726,CREACION DE UN FIDEICOMISO INTEGRADO POR LOS CREDITOS DEL BANCO DE LA PROV. QUE SE TRANSFIEREN MEDIANTE EL ART. 2 DE ESTA LEY.MODIFICA LEY 9434. DEC.REG. 2045/01.,https://normas.gba.gob.ar/ar-b/ley/2001/12726/4135
